year,district_name,age,immigrants_percentage
2017,Sants-Montjuïc,55-59,2.4737
2017,Sants-Montjuïc,60-64,1.9088
2017,Sants-Montjuïc,65-69,1.2411
2017,Sants-Montjuïc,70-74,0.7190
2017,Sants-Montjuïc,75-79,0.5992
2017,Sants-Montjuïc,80-84,0.5735
2017,Sants-Montjuïc,85-89,0.3424
2017,Sants-Montjuïc,90-94,0.1969
2017,Sants-Montjuïc,95-99,0.0428
2017,"Sarrià-Sant Gervasi",>=100,0.0000
2017,"Sarrià-Sant Gervasi",0-4,6.1506
2017,"Sarrià-Sant Gervasi",10-14,4.8438
2017,"Sarrià-Sant Gervasi",15-19,5.4972
2017,"Sarrià-Sant Gervasi",20-24,9.7869
2017,"Sarrià-Sant Gervasi",25-29,15.8665
2017,"Sarrià-Sant Gervasi",30-34,12.9688
2017,"Sarrià-Sant Gervasi",35-39,9.5455
2017,"Sarrià-Sant Gervasi",40-44,8.4375
2017,"Sarrià-Sant Gervasi",45-49,6.3920
2017,"Sarrià-Sant Gervasi",5-9,4.0483
2017,"Sarrià-Sant Gervasi",50-54,4.7159
2017,"Sarrià-Sant Gervasi",55-59,3.1392
2017,"Sarrià-Sant Gervasi",60-64,2.2585
2017,"Sarrià-Sant Gervasi",65-69,1.6903
2017,"Sarrià-Sant Gervasi",70-74,1.4773
2017,"Sarrià-Sant Gervasi",75-79,1.0938
2017,"Sarrià-Sant Gervasi",80-84,0.9233
2017,"Sarrià-Sant Gervasi",85-89,0.6818
2017,"Sarrià-Sant Gervasi",90-94,0.3977
2017,"Sarrià-Sant Gervasi",95-99,0.0852
2016,"Ciutat Vella",>=100,0.0000
2016,"Ciutat Vella",0-4,3.5198
2016,"Ciutat Vella",10-14,2.0523
2016,"Ciutat Vella",15-19,4.3224
2016,"Ciutat Vella",20-24,16.3036
2016,"Ciutat Vella",25-29,26.2784
2016,"Ciutat Vella",30-34,17.3699
2016,"Ciutat Vella",35-39,9.8831
2016,"Ciutat Vella",40-44,6.0766
2016,"Ciutat Vella",45-49,3.7606
2016,"Ciutat Vella",5-9,2.3160
2016,"Ciutat Vella",50-54,2.5224
2016,"Ciutat Vella",55-59,1.9032
2016,"Ciutat Vella",60-64,1.6625
2016,"Ciutat Vella",65-69,0.9860
2016,"Ciutat Vella",70-74,0.5847
2016,"Ciutat Vella",75-79,0.1949
2016,"Ciutat Vella",80-84,0.1490
2016,"Ciutat Vella",85-89,0.0573
2016,"Ciutat Vella",90-94,0.0229
2016,"Ciutat Vella",95-99,0.0344
2016,Eixample,>=100,0.0146
2016,Eixample,0-4,3.4028
2016,Eixample,10-14,2.2442
2016,Eixample,15-19,3.7307
2016,Eixample,20-24,14.7260
2016,Eixample,25-29,24.6575
2016,Eixample,30-34,16.4894
2016,Eixample,35-39,10.3468
2016,Eixample,40-44,6.3247
2016,Eixample,45-49,4.0149
2016,Eixample,5-9,2.1568
2016,Eixample,50-54,3.3882
2016,Eixample,55-59,2.4337
2016,Eixample,60-64,1.7706
2016,Eixample,65-69,1.4282
2016,Eixample,70-74,0.9837
2016,Eixample,75-79,0.5902
2016,Eixample,80-84,0.5173
2016,Eixample,85-89,0.5101
2016,Eixample,90-94,0.2259
2016,Eixample,95-99,0.0437
2016,Gràcia,>=100,0.0000
2016,Gràcia,0-4,3.1872
2016,Gràcia,10-14,2.1604
2016,Gràcia,15-19,4.4706
2016,Gràcia,20-24,12.5775
2016,Gràcia,25-29,24.3422
2016,Gràcia,30-34,18.6952
2016,Gràcia,35-39,10.6524
2016,Gràcia,40-44,5.9679
2016,Gràcia,45-49,3.8289
2016,Gràcia,5-9,2.2888
2016,Gràcia,50-54,2.9733
2016,Gràcia,55-59,2.6524
2016,Gràcia,60-64,1.6898
2016,Gràcia,65-69,1.4118
2016,Gràcia,70-74,1.0053
2016,Gràcia,75-79,0.7273
2016,Gràcia,80-84,0.8128
2016,Gràcia,85-89,0.3209
2016,Gràcia,90-94,0.1925
2016,Gràcia,95-99,0.0428
2016,Horta-Guinardó,>=100,0.0000
2016,Horta-Guinardó,0-4,4.7237
2016,Horta-Guinardó,10-14,3.2680
2016,Horta-Guinardó,15-19,5.1693
2016,Horta-Guinardó,20-24,11.1705
2016,Horta-Guinardó,25-29,20.0980
2016,Horta-Guinardó,30-34,14.7653
2016,Horta-Guinardó,35-39,10.7992
2016,Horta-Guinardó,40-44,7.2935
2016,Horta-Guinardó,45-49,5.0357
2016,Horta-Guinardó,5-9,3.5056
2016,Horta-Guinardó,50-54,3.7582
2016,Horta-Guinardó,55-59,2.7035
2016,Horta-Guinardó,60-64,2.0351
2016,Horta-Guinardó,65-69,1.4854
2016,Horta-Guinardó,70-74,1.1884
2016,Horta-Guinardó,75-79,0.9952
2016,Horta-Guinardó,80-84,0.8616
2016,Horta-Guinardó,85-89,0.6982
2016,Horta-Guinardó,90-94,0.3565
2016,Horta-Guinardó,95-99,0.0891
2016,"Les Corts",>=100,0.0251
2016,"Les Corts",0-4,5.9619
2016,"Les Corts",10-14,4.0331
2016,"Les Corts",15-19,4.7846
2016,"Les Corts",20-24,9.7946
2016,"Les Corts",25-29,18.3617
2016,"Les Corts",30-34,15.0802
2016,"Les Corts",35-39,11.1974
2016,"Les Corts",40-44,7.3647
2016,"Les Corts",45-49,5.2355
2016,"Les Corts",5-9,4.0080
2016,"Les Corts",50-54,3.5070
2016,"Les Corts",55-59,2.9058
2016,"Les Corts",60-64,2.2044
2016,"Les Corts",65-69,1.8537
2016,"Les Corts",70-74,1.0271
2016,"Les Corts",75-79,0.7766
2016,"Les Corts",80-84,0.9519
2016,"Les Corts",85-89,0.6513
2016,"Les Corts",90-94,0.2255
2016,"Les Corts",95-99,0.0501
2016,"No consta",>=100,0.0000
2016,"No consta",0-4,0.0000
2016,"No consta",10-14,22.2222
2016,"No consta",15-19,0.0000
2016,"No consta",20-24,0.0000
2016,"No consta",25-29,0.0000
2016,"No consta",30-34,0.0000
2016,"No consta",35-39,11.1111
2016,"No consta",40-44,0.0000
2016,"No consta",45-49,33.3333
2016,"No consta",5-9,11.1111
2016,"No consta",50-54,0.0000
2016,"No consta",55-59,0.0000
2016,"No consta",60-64,22.2222
2016,"No consta",65-69,0.0000
2016,"No consta",70-74,0.0000
2016,"No consta",75-79,0.0000
2016,"No consta",80-84,0.0000
2016,"No consta",85-89,0.0000
2016,"No consta",90-94,0.0000
2016,"No consta",95-99,0.0000
2016,"Nou Barris",>=100,0.0000
2016,"Nou Barris",0-4,5.6483
2016,"Nou Barris",10-14,4.8553
2016,"Nou Barris",15-19,6.6082
2016,"Nou Barris",20-24,11.7696
2016,"Nou Barris",25-29,15.1920
2016,"Nou Barris",30-34,13.0634
2016,"Nou Barris",35-39,11.1714
2016,"Nou Barris",40-44,7.8325
2016,"Nou Barris",45-49,5.3840
2016,"Nou Barris",5-9,4.3127
2016,"Nou Barris",50-54,4.2014
2016,"Nou Barris",55-59,3.2137
2016,"Nou Barris",60-64,1.9060
2016,"Nou Barris",65-69,1.6555
2016,"Nou Barris",70-74,1.0712
2016,"Nou Barris",75-79,0.9043
2016,"Nou Barris",80-84,0.5008
2016,"Nou Barris",85-89,0.4174
2016,"Nou Barris",90-94,0.2087
2016,"Nou Barris",95-99,0.0835
2016,"Sant Andreu",>=100,0.0182
2016,"Sant Andreu",0-4,5.8129
2016,"Sant Andreu",10-14,3.6149
2016,"Sant Andreu",15-19,4.9591
2016,"Sant Andreu",20-24,11.2988
2016,"Sant Andreu",25-29,16.2216
2016,"Sant Andreu",30-34,14.3506
2016,"Sant Andreu",35-39,11.2262
2016,"Sant Andreu",40-44,7.8656
2016,"Sant Andreu",45-49,5.8311
2016,"Sant Andreu",5-9,3.5059
2016,"Sant Andreu",50-54,4.2325
2016,"Sant Andreu",55-59,3.2516
2016,"Sant Andreu",60-64,2.1617
2016,"Sant Andreu",65-69,2.0163
2016,"Sant Andreu",70-74,1.0718
2016,"Sant Andreu",75-79,1.1444
2016,"Sant Andreu",80-84,0.8174
2016,"Sant Andreu",85-89,0.3451
2016,"Sant Andreu",90-94,0.1998
2016,"Sant Andreu",95-99,0.0545
2016,"Sant Martí",>=100,0.0105
2016,"Sant Martí",0-4,4.4583
2016,"Sant Martí",10-14,3.1092
2016,"Sant Martí",15-19,4.9009
2016,"Sant Martí",20-24,11.2879
2016,"Sant Martí",25-29,18.0965
2016,"Sant Martí",30-34,16.2732
2016,"Sant Martí",35-39,11.6674
2016,"Sant Martí",40-44,7.7888
2016,"Sant Martí",45-49,5.4174
2016,"Sant Martí",5-9,3.5835
2016,"Sant Martí",50-54,4.0156
2016,"Sant Martí",55-59,2.7403
2016,"Sant Martí",60-64,2.2239
2016,"Sant Martí",65-69,1.4650
2016,"Sant Martí",70-74,0.9380
2016,"Sant Martí",75-79,0.7799
2016,"Sant Martí",80-84,0.5164
2016,"Sant Martí",85-89,0.4532
2016,"Sant Martí",90-94,0.1897
2016,"Sant Martí",95-99,0.0843
2016,Sants-Montjuïc,>=100,0.0000
2016,Sants-Montjuïc,0-4,4.2190
2016,Sants-Montjuïc,10-14,3.1083
2016,Sants-Montjuïc,15-19,5.1350
2016,Sants-Montjuïc,20-24,12.8812
2016,Sants-Montjuïc,25-29,20.0136
2016,Sants-Montjuïc,30-34,16.0382
2016,Sants-Montjuïc,35-39,11.5756
2016,Sants-Montjuïc,40-44,7.2591
2016,Sants-Montjuïc,45-49,4.7939
2016,Sants-Montjuïc,5-9,3.0498
2016,Sants-Montjuïc,50-54,3.3811
2016,Sants-Montjuïc,55-59,2.5626
2016,Sants-Montjuïc,60-64,1.7734
2016,Sants-Montjuïc,65-69,1.5200
2016,Sants-Montjuïc,70-74,0.9354
2016,Sants-Montjuïc,75-79,0.6139
2016,Sants-Montjuïc,80-84,0.4774
2016,Sants-Montjuïc,85-89,0.4482
2016,Sants-Montjuïc,90-94,0.1851
2016,Sants-Montjuïc,95-99,0.0292
2016,"Sarrià-Sant Gervasi",>=100,0.0000
2016,"Sarrià-Sant Gervasi",0-4,6.1349
2016,"Sarrià-Sant Gervasi",10-14,5.6822
2016,"Sarrià-Sant Gervasi",15-19,6.2441
2016,"Sarrià-Sant Gervasi",20-24,10.0375
2016,"Sarrià-Sant Gervasi",25-29,14.6581
2016,"Sarrià-Sant Gervasi",30-34,13.0347
2016,"Sarrià-Sant Gervasi",35-39,9.9750
2016,"Sarrià-Sant Gervasi",40-44,8.4296
2016,"Sarrià-Sant Gervasi",45-49,5.7446
2016,"Sarrià-Sant Gervasi",5-9,4.8392
2016,"Sarrià-Sant Gervasi",50-54,4.6363
2016,"Sarrià-Sant Gervasi",55-59,2.5913
2016,"Sarrià-Sant Gervasi",60-64,2.0450
2016,"Sarrià-Sant Gervasi",65-69,1.8264
2016,"Sarrià-Sant Gervasi",70-74,1.1083
2016,"Sarrià-Sant Gervasi",75-79,0.9991
2016,"Sarrià-Sant Gervasi",80-84,0.8273
2016,"Sarrià-Sant Gervasi",85-89,0.6869
2016,"Sarrià-Sant Gervasi",90-94,0.4215
2016,"Sarrià-Sant Gervasi",95-99,0.0781
2015,"Ciutat Vella",>=100,0.0110
2015,"Ciutat Vella",0-4,2.7494
2015,"Ciutat Vella",10-14,1.5396
2015,"Ciutat Vella",15-19,3.8821
2015,"Ciutat Vella",20-24,15.4954
2015,"Ciutat Vella",25-29,24.5903
2015,"Ciutat Vella",30-34,18.0908
2015,"Ciutat Vella",35-39,10.7775
