Year	Neighborhood Code	Gender	Immigrants
2015	15	Female	569
2015	16	Female	451
2015	17	Female	767
2015	18	Female	1285
2015	19	Female	1099
2015	20	Female	714
2015	21	Female	350
2015	22	Female	121
2015	23	Female	608
2015	24	Female	396
2015	25	Female	642
2015	26	Female	1236
2015	27	Female	780
2015	28	Female	351
2015	29	Female	195
2015	30	Female	286
2015	31	Female	1895
2015	32	Female	863
2015	33	Female	618
2015	34	Female	197
2015	35	Female	858
2015	36	Female	105
2015	37	Female	601
2015	38	Female	215
2015	39	Female	136
2015	40	Female	110
2015	41	Female	85
2015	42	Female	8
2015	43	Female	507
2015	44	Female	507
2015	45	Female	494
2015	46	Female	378
2015	47	Female	24
2015	48	Female	232
2015	49	Female	85
2015	50	Female	433
2015	51	Female	316
2015	52	Female	564
2015	53	Female	191
2015	54	Female	71
2015	55	Female	297
2015	56	Female	36
2015	57	Female	287
2015	58	Female	49
2015	59	Female	269
2015	60	Female	913
2015	61	Female	628
2015	62	Female	295
2015	63	Female	462
2015	64	Female	1013
2015	65	Female	603
2015	66	Female	449
2015	67	Female	241
2015	68	Female	804
2015	69	Female	325
2015	70	Female	652
2015	71	Female	467
2015	72	Female	463
2015	73	Female	564
2014	1	Male	2810
2014	2	Male	947
2014	3	Male	704
2014	4	Male	1175
2014	5	Male	916
2014	6	Male	1357
2014	7	Male	1319
2014	8	Male	1303
2014	9	Male	1594
2014	10	Male	1137
2014	11	Male	1467
2014	12	Male	20
2014	13	Male	710
2014	14	Male	293
2014	15	Male	544
2014	16	Male	455
2014	17	Male	703
2014	18	Male	1222
2014	19	Male	922
2014	20	Male	682
2014	21	Male	349
2014	22	Male	93
2014	23	Male	510
2014	24	Male	369
2014	25	Male	553
2014	26	Male	980
2014	27	Male	693
2014	28	Male	308
2014	29	Male	166
2014	30	Male	292
2014	31	Male	1511
2014	32	Male	730
2014	33	Male	539
2014	34	Male	163
2014	35	Male	682
2014	36	Male	106
2014	37	Male	524
2014	38	Male	208
2014	39	Male	109
2014	40	Male	83
2014	41	Male	95
2014	42	Male	9
2014	43	Male	467
2014	44	Male	473
2014	45	Male	488
2014	46	Male	328
2014	47	Male	22
2014	48	Male	186
2014	49	Male	75
2014	50	Male	380
2014	51	Male	275
2014	52	Male	431
2014	53	Male	184
2014	54	Male	78
2014	55	Male	356
2014	56	Male	29
2014	57	Male	387
2014	58	Male	57
2014	59	Male	320
2014	60	Male	832
2014	61	Male	594
2014	62	Male	272
2014	63	Male	429
2014	64	Male	888
2014	65	Male	579
2014	66	Male	424
2014	67	Male	176
2014	68	Male	847
2014	69	Male	307
2014	70	Male	964
2014	71	Male	432
2014	72	Male	468
2014	73	Male	534
2014	1	Female	1877
2014	2	Female	791
2014	3	Female	618
2014	4	Female	1041
2014	5	Female	907
2014	6	Female	1519
2014	7	Female	1481
2014	8	Female	1375
2014	9	Female	1709
2014	10	Female	1051
2014	11	Female	1199
2014	12	Female	17
2014	13	Female	628
2014	14	Female	280
2014	15	Female	535
2014	16	Female	433
2014	17	Female	688
2014	18	Female	1203
2014	19	Female	1054
2014	20	Female	696
2014	21	Female	328
2014	22	Female	110
2014	23	Female	558
2014	24	Female	402
2014	25	Female	565
2014	26	Female	1129
2014	27	Female	710
2014	28	Female	328
2014	29	Female	186
2014	30	Female	302
2014	31	Female	1666
2014	32	Female	740
2014	33	Female	508
2014	34	Female	181
2014	35	Female	730
2014	36	Female	112
2014	37	Female	523
2014	38	Female	216
2014	39	Female	113
2014	40	Female	98
2014	41	Female	83
2014	42	Female	5
2014	43	Female	487
2014	44	Female	486
2014	45	Female	478
2014	46	Female	383
2014	47	Female	23
2014	48	Female	237
2014	49	Female	70
2014	50	Female	422
2014	51	Female	320
2014	52	Female	459
2014	53	Female	148
2014	54	Female	57
2014	55	Female	326
2014	56	Female	35
2014	57	Female	262
2014	58	Female	56
2014	59	Female	252
2014	60	Female	892
2014	61	Female	663
2014	62	Female	299
2014	63	Female	460
2014	64	Female	956
2014	65	Female	584
2014	66	Female	372
2014	67	Female	190
2014	68	Female	730
2014	69	Female	302
2014	70	Female	648
2014	71	Female	410
2014	72	Female	496
2014	73	Female	562
2013	1	Male	2817
2013	2	Male	921
2013	3	Male	665
2013	4	Male	943
2013	5	Male	782
2013	6	Male	1173
2013	7	Male	1103
2013	8	Male	1200
2013	9	Male	1477
2013	10	Male	1002
2013	11	Male	1361
2013	12	Male	20
2013	13	Male	614
2013	14	Male	302
2013	15	Male	499
2013	16	Male	437
2013	17	Male	686
2013	18	Male	1145
2013	19	Male	942
2013	20	Male	540
2013	21	Male	316
2013	22	Male	74
2013	23	Male	468
2013	24	Male	374
2013	25	Male	474
2013	26	Male	828
2013	27	Male	537
2013	28	Male	287
2013	29	Male	140
2013	30	Male	239
2013	31	Male	1324
2013	32	Male	622
2013	33	Male	476
2013	34	Male	165
2013	35	Male	618
2013	36	Male	102
2013	37	Male	574
2013	38	Male	195
2013	39	Male	120
2013	40	Male	99
2013	41	Male	88
2013	42	Male	12
2013	43	Male	468
2013	44	Male	438
2013	45	Male	443
2013	46	Male	351
2013	47	Male	49
2013	48	Male	177
2013	49	Male	82
2013	50	Male	376
2013	51	Male	249
2013	52	Male	458
2013	53	Male	162
2013	54	Male	68
2013	55	Male	389
2013	56	Male	21
2013	57	Male	387
2013	58	Male	84
2013	59	Male	289
2013	60	Male	770
2013	61	Male	550
2013	62	Male	239
2013	63	Male	361
2013	64	Male	829
2013	65	Male	542
2013	66	Male	435
2013	67	Male	175
2013	68	Male	718
2013	69	Male	273
2013	70	Male	894
2013	71	Male	370
2013	72	Male	464
2013	73	Male	475
2013	1	Female	1716
2013	2	Female	751
2013	3	Female	540
2013	4	Female	882
2013	5	Female	815
2013	6	Female	1359
2013	7	Female	1240
2013	8	Female	1272
2013	9	Female	1520
2013	10	Female	997
2013	11	Female	1097
2013	12	Female	17
2013	13	Female	600
2013	14	Female	297
2013	15	Female	466
2013	16	Female	423
2013	17	Female	715
2013	18	Female	1084
2013	19	Female	973
2013	20	Female	605
2013	21	Female	309
2013	22	Female	79
2013	23	Female	527
2013	24	Female	370
2013	25	Female	547
2013	26	Female	961
2013	27	Female	644
2013	28	Female	304
2013	29	Female	159
2013	30	Female	283
2013	31	Female	1527
2013	32	Female	710
2013	33	Female	519
2013	34	Female	175
2013	35	Female	706
2013	36	Female	105
2013	37	Female	535
2013	38	Female	203
2013	39	Female	161
2013	40	Female	130
2013	41	Female	86
2013	42	Female	7
2013	43	Female	462
2013	44	Female	421
2013	45	Female	464
2013	46	Female	381
2013	47	Female	39
2013	48	Female	217
2013	49	Female	68
2013	50	Female	338
2013	51	Female	285
2013	52	Female	469
2013	53	Female	164
2013	54	Female	64
2013	55	Female	326
2013	56	Female	32
2013	57	Female	290
2013	58	Female	77
2013	59	Female	237
2013	60	Female	830
2013	61	Female	545
2013	62	Female	258
2013	63	Female	407
2013	64	Female	856
2013	65	Female	539
2013	66	Female	404
2013	67	Female	189
2013	68	Female	691
2013	69	Female	261
2013	70	Female	568
2013	71	Female	360
2013	72	Female	446
2013	73	Female	505
